gamePk,home_team_id,home_pitching_player_ERA,home_pitching_player_WHIP,home_pitching_player_K_per9,home_pitching_player_BB_per9,home_pitching_player_HR_per9,home_pitching_player_K_BB_ratio,home_pitching_player_pitches_per_inning,home_pitching_player_strike_to_ball_ratio,home_pitching_player_ground_to_fly_ratio,away_team_id,away_pitching_player_ERA,away_pitching_player_WHIP,away_pitching_player_K_per9,away_pitching_player_BB_per9,away_pitching_player_HR_per9,away_pitching_player_K_BB_ratio,away_pitching_player_pitches_per_inning,away_pitching_player_strike_to_ball_ratio,away_pitching_player_ground_to_fly_ratio
744795,120,0.36,0.44000000000000006,6.4799999999999995,1.0799999999999998,0.0,1.0,14.24,1.730795019157088,0.39285714285714285,118,0.0,0.7193362193362193,7.292207792207793,5.1103896103896105,0.0,1.3333333333333333,16.237373737373737,1.6637362637362638,1.625
744796,120,28.411764705882355,5.2745098039215685,2.5588235294117645,27.352941176470587,0.35294117647058826,1.5,40.962745098039214,1.6604166666666667,0.25,118,1.0799999999999998,0.64,7.92,0.36,0.36,2.0,13.12,2.1273333333333335,2.0
744797,120,1.8,0.6,7.2,2.52,1.8,1.25,13.48,3.3928571428571432,1.6666666666666667,143,6.75,2.3333333333333335,3.75,3.75,0.75,0.6666666666666666,19.916666666666668,1.6629273504273503,2.0
744798,120,3.2926829268292686,1.0370473022912048,26.191796008869183,1.6463414634146343,0.0,1.0,25.615299334811528,2.785,4.0,143,1.0799999999999998,0.96,15.12,1.8,0.36,2.0,17.04,2.171659451659452,1.4
744799,120,6.340909090909091,1.893939393939394,18.920454545454547,11.625,2.0454545454545454,5.0,36.928030303030305,2.165798611111111,2.0,143,12.98360655737705,6.606557377049181,26.40983606557377,15.98360655737705,3.4918032786885242,3.25,43.967213114754095,1.84375,0.75
744800,120,0.45,1.0,3.375,0.45,0.45,5.0,16.1,2.7648809523809526,2.5,146,3.0,1.111111111111111,4.5,0.5,3.0,9.0,10.888888888888891,2.678571428571429,8.0
744801,120,19.8,4.533333333333333,32.1,0.6,18.0,2.5,30.1,3.1533333333333333,1.1333333333333333,146,3.5999999999999996,1.4,5.4,5.4,2.7,1.0,16.25,1.4092261904761905,3.0
744802,120,0.0,1.225,12.375,4.275,0.0,2.5,17.3,1.5138221153846154,2.25,118,0.0,0.6,7.2,0.9,0.0,2.0,14.966666666666669,2.322916666666667,1.5
744803,120,0.375,0.9166666666666666,13.5,0.375,0.0,6.0,16.416666666666664,1.8714285714285714,3.5,146,4.764705882352941,1.0686274509803921,15.352941176470589,0.5882352941176471,4.176470588235294,4.0,18.401960784313726,3.0138888888888893,
744804,120,0.375,1.125,8.625,0.375,0.0,5.0,16.75,2.1979166666666665,0.6666666666666666,144,4.5,1.1666666666666667,40.5,0.0,0.5,,29.666666666666668,2.2329749103942653,
744805,120,21.6,4.898360655737705,10.475409836065575,1.8,0.0,0.0,32.49180327868852,2.623,2.5,146,1.3499999999999999,0.4,30.825,0.9,0.0,0.5,22.366666666666667,2.4142857142857146,1.1
744806,120,135.9,21.266666666666666,30.9,36.3,0.0,2.8333333333333335,120.96666666666667,2.037,0.75,112,0.45,0.825,3.375,3.375,0.0,0.5,11.575,1.8049242424242424,0.7666666666666666
744807,120,13.9375,3.4131944444444446,14.40625,2.90625,10.71875,1.0,24.725694444444446,3.6670634920634924,0.5555555555555556,144,0.0,0.75,9.375,2.625,0.0,2.0,17.625,1.9317821067821068,1.0
744808,120,1.4285714285714286,4.448412698412699,4.785714285714286,0.7142857142857143,0.0,2.5,29.86904761904762,3.07375,0.6666666666666666,112,1.125,1.4166666666666667,12.75,5.25,0.375,1.6666666666666667,16.5,1.84390756302521,0.888888888888889
744809,120,0.75,1.0416666666666667,9.0,4.875,0.375,2.6666666666666665,15.75,2.1336336336336337,2.6666666666666665,147,2.8846153846153846,1.6410256410256412,10.069930069930068,4.153846153846154,0.5769230769230769,2.0,17.198135198135198,1.9654761904761904,2.0
744810,120,2.4999999999999996,0.7301587301587302,26.142857142857142,2.214285714285714,0.35714285714285715,2.0,19.253968253968253,2.311186186186186,1.0,112,54.9,10.266666666666666,40.2,36.3,0.3,3.0,78.9,2.359047619047619,0.8
744811,120,1.6363636363636362,6.678787878787878,19.8,18.6,0.0,2.0,43.92121212121212,1.3315384615384616,1.0,147,1.3499999999999999,0.6,7.65,0.45,0.9,7.0,13.8,2.8875,3.5
744812,120,0.42857142857142855,0.6190476190476191,5.571428571428572,0.42857142857142855,0.0,6.0,15.61904761904762,2.4242424242424243,0.5,115,3.9375,1.3125,1.125,1.6875,0.5625,1.0,14.8125,2.3726190476190476,1.0
744813,120,6.6477272727272725,1.7329545454545454,5.880681818181818,2.1477272727272725,3.8352272727272725,1.75,16.096590909090907,2.4204545454545454,0.25,147,11.612903225806452,2.741935483870968,1.814516129032258,11.975806451612904,11.612903225806452,1.25,42.16935483870968,1.6250700280112045,0.8
744814,120,0.6923076923076923,2.0895104895104892,22.05944055944056,9.692307692307692,0.0,1.75,39.10419580419581,1.8145833333333332,1.0833333333333333,115,0.42857142857142855,1.2380952380952381,8.142857142857144,3.857142857142857,0.42857142857142855,1.75,16.571428571428573,2.045887445887446,1.6666666666666667
744815,120,4.875,0.9583333333333334,22.636363636363637,2.625,2.625,4.5,23.481060606060606,1.6449169110459432,3.0,115,5.7,1.4333333333333333,8.4,4.2,1.5,1.5,17.099999999999998,1.7174415024630543,1.0
