gamePk,home_team_id,home_batting_player_avg,home_batting_player_OPS,home_batting_player_K_rate,home_batting_player_BB_rate,home_batting_player_productive_outs,home_batting_player_homeRuns,home_batting_player_hits,home_batting_player_rbi,home_batting_player_doubles,home_batting_player_triples,home_batting_player_singles,away_team_id,away_batting_player_avg,away_batting_player_OPS,away_batting_player_K_rate,away_batting_player_BB_rate,away_batting_player_productive_outs,away_batting_player_homeRuns,away_batting_player_hits,away_batting_player_rbi,away_batting_player_doubles,away_batting_player_triples,away_batting_player_singles
744820,120,0.3611111111111111,0.9074074074074073,0.05555555555555555,0.037037037037037035,2,1,9,5,2,0,6,108,0.27037037037037037,0.7203703703703703,0.11666666666666667,0.08888888888888889,1,1,11,4,2,0,8
744821,120,0.19444444444444445,0.537037037037037,0.30000000000000004,0.08333333333333333,0,0,6,1,2,0,4,137,0.31666666666666665,0.8583333333333332,0.25,0.025,0,2,9,4,2,0,5
744822,120,0.18787878787878787,0.5636363636363636,0.2722222222222222,0.06527777777777778,0,1,8,4,0,1,6,137,0.26666666666666666,0.8944444444444445,0.10555555555555556,0.022222222222222223,0,3,10,7,1,1,5
744823,120,0.32407407407407407,0.8055555555555556,0.12037037037037036,0.027777777777777776,1,1,10,6,2,0,7,158,0.2333333333333333,0.5954545454545455,0.28787878787878785,0.022727272727272728,0,1,7,3,1,0,5
744824,120,0.24166666666666664,0.6416666666666666,0.16666666666666666,0.05,0,1,6,3,0,1,4,135,0.38472222222222224,0.9944444444444445,0.10555555555555556,0.0638888888888889,1,2,20,12,3,1,14
744825,120,0.24500000000000002,0.585,0.19166666666666665,0.02,0,1,10,3,1,0,8,158,0.33999999999999997,0.96,0.18,0.12000000000000002,1,1,11,8,3,0,7
744826,120,0.25,0.725,0.125,0.06666666666666667,0,1,9,4,1,1,6,158,0.275,0.7916666666666666,0.18333333333333332,0.1,0,1,7,3,1,0,5
744827,120,0.0,0.10185185185185185,0.32407407407407407,0.10185185185185185,0,0,0,0,0,0,0,135,0.17592592592592593,0.48148148148148145,0.21296296296296294,0.08333333333333333,0,0,6,3,2,0,4
744828,120,0.18518518518518517,0.4629629629629629,0.12037037037037036,0.0,1,0,6,0,3,0,3,135,0.2574074074074074,0.75,0.16666666666666666,0.08333333333333333,0,2,9,4,1,0,6
744829,120,0.2962962962962963,0.824074074074074,0.2685185185185185,0.1111111111111111,0,2,7,7,1,0,4,113,0.2533333333333333,0.6966666666666667,0.29,0.06999999999999999,0,0,7,5,2,0,5
744830,120,0.24,0.6883333333333332,0.2,0.03333333333333333,0,1,9,5,2,0,6,113,0.22592592592592592,0.7481481481481481,0.19444444444444445,0.15000000000000002,1,1,7,4,1,0,5
744831,120,0.25,0.6666666666666666,0.08333333333333333,0.08333333333333333,0,1,9,4,1,0,7,113,0.14166666666666666,0.5333333333333333,0.23333333333333334,0.025,0,2,5,2,2,0,1
744832,120,0.3314814814814815,0.8037037037037037,0.3055555555555556,0.08333333333333333,0,0,11,3,3,0,8,138,0.31166666666666665,0.7683333333333333,0.16999999999999998,0.06000000000000001,0,1,13,8,2,0,10
744833,120,0.2727272727272727,0.5681818181818182,0.10606060606060605,0.0,0,0,8,0,1,0,7,138,0.2833333333333333,0.7722222222222221,0.21666666666666667,0.022222222222222223,0,2,11,5,1,0,8
744834,120,0.26666666666666666,0.9,0.075,0.08333333333333333,1,1,5,1,0,0,4,121,0.037037037037037035,0.1111111111111111,0.35185185185185186,0.037037037037037035,0,0,1,0,0,0,1
744835,120,0.3283333333333333,1.0733333333333333,0.1,0.12,0,3,15,13,4,0,8,138,0.28148148148148144,0.7259259259259259,0.2,0.15555555555555556,0,0,11,5,2,0,9
744836,120,0.29333333333333333,0.7833333333333334,0.155,0.07333333333333333,0,1,14,6,4,0,9,138,0.3383333333333333,0.8166666666666667,0.06999999999999999,0.05333333333333333,2,1,14,6,2,0,11
744837,120,0.287037037037037,0.898148148148148,0.14814814814814814,0.08333333333333333,0,2,9,7,2,0,5,121,0.15833333333333333,0.6666666666666666,0.2,0.025,0,3,5,5,2,0,0
744838,120,0.15,0.40151515151515144,0.1409090909090909,0.06363636363636363,0,0,6,2,1,0,5,121,0.25666666666666665,0.7366666666666667,0.37333333333333335,0.0,0,2,11,7,4,0,5
744839,120,0.3055555555555556,0.9444444444444444,0.12037037037037036,0.08333333333333333,0,2,9,3,2,0,5,146,0.17361111111111113,0.3958333333333333,0.2847222222222222,0.0,0,0,8,1,2,0,6
744840,120,0.3015151515151515,0.75,0.12575757575757576,0.1,0,0,11,6,2,0,9,121,0.2733333333333333,0.8483333333333333,0.27,0.04,0,2,12,9,3,1,6
744841,120,0.12037037037037036,0.4074074074074074,0.12962962962962962,0.0,0,2,4,2,0,0,2,109,0.2833333333333333,0.7216666666666667,0.26,0.05,1,1,12,5,2,0,9
744842,120,0.25,0.7083333333333333,0.05,0.11666666666666665,0,1,6,3,0,0,5,109,0.1,0.3083333333333333,0.275,0.08333333333333333,0,0,4,1,1,0,3
744843,120,0.12962962962962962,0.2962962962962963,0.2685185185185185,0.0,0,0,4,0,1,0,3,109,0.44814814814814813,1.1185185185185185,0.1,0.1,3,1,14,5,1,1,11
744844,120,0.16666666666666666,0.537037037037037,0.287037037037037,0.037037037037037035,0,2,6,2,0,0,4,144,0.18333333333333332,0.6083333333333333,0.075,0.0,0,2,7,5,2,0,3
744845,120,0.17592592592592593,0.5,0.3796296296296296,0.05555555555555555,0,0,5,1,1,1,3,144,0.18518518518518517,0.537037037037037,0.23148148148148145,0.05555555555555555,0,0,6,1,4,0,2
744846,120,0.3416666666666667,0.9416666666666667,0.08333333333333333,0.0,1,2,9,4,3,0,4,146,0.1590909090909091,0.36363636363636365,0.5416666666666666,0.08333333333333333,0,0,4,0,0,1,3
744847,120,0.3222222222222222,0.8,0.1111111111111111,0.05,0,1,12,8,2,0,9,146,0.16666666666666666,0.4090909090909091,0.23611111111111108,0.10416666666666667,0,0,7,1,1,0,6
744848,120,0.37037037037037035,0.998148148148148,0.2111111111111111,0.027777777777777776,1,1,12,7,4,0,7,144,0.19444444444444445,0.5833333333333334,0.3796296296296296,0.027777777777777776,0,1,7,2,2,0,4
744849,120,0.2074074074074074,0.7407407407407408,0.18333333333333332,0.21666666666666667,1,1,7,8,1,0,5,144,0.24444444444444446,0.6666666666666666,0.19444444444444445,0.12777777777777777,0,1,8,4,0,0,7
