gamePk,home_team_name,home_ip_last_5,home_runs_allowed_last_5,home_er_last_5,home_so_last_5,home_bb_last_5,home_hr_allowed_last_5,away_team_name,away_ip_last_5,away_runs_allowed_last_5,away_er_last_5,away_so_last_5,away_bb_last_5,away_hr_allowed_last_5
745780,New York Mets,9.0,2.8,2.6,6.6,4.4,0.4,Baltimore Orioles,9.0,4.2,4.2,9.0,2.4,1.4
744976,Texas Rangers,9.4,4.8,4.6,7.8,2.6,1.4,Pittsburgh Pirates,8.6,5.2,4.6,8.0,2.4,1.6
746351,Houston Astros,9.2,1.8,1.8,9.0,2.6,0.4,Boston Red Sox,8.8,5.8,5.4,7.0,2.8,2.0
746270,Kansas City Royals,8.8,3.4,3.2,9.4,2.2,1.0,Los Angeles Angels,9.0,6.2,6.0,8.2,5.0,1.8
745620,Oakland Athletics,9.0,4.6,4.4,10.0,3.4,1.4,Tampa Bay Rays,9.8,3.4,2.6,9.4,3.0,1.2
745380,San Diego Padres,8.6,3.0,2.8,11.2,2.6,0.8,Minnesota Twins,9.02,3.4,3.2,7.4,2.4,1.0
745294,San Francisco Giants,9.2,4.2,3.8,9.8,3.6,1.2,Chicago White Sox,8.6,5.2,5.0,9.6,4.2,2.0
746109,Los Angeles Dodgers,8.4,4.6,4.2,6.0,3.6,2.0,Seattle Mariners,8.42,4.0,3.4,8.4,1.8,1.4
746029,Miami Marlins,8.4,6.2,6.0,7.2,4.6,1.8,Arizona Diamondbacks,9.059999999999999,5.8,5.0,9.0,3.4,0.8
744814,Washington Nationals,8.2,5.8,5.6,6.8,3.2,1.4,Colorado Rockies,8.64,5.6,4.8,5.8,5.0,1.0
745707,New York Yankees,8.8,2.0,1.8,9.8,2.0,0.2,Cleveland Guardians,8.4,2.2,2.0,8.2,2.2,0.4
744896,Toronto Blue Jays,8.8,3.4,3.0,7.2,2.8,1.4,Cincinnati Reds,9.0,6.6,6.4,7.6,2.4,1.4
745782,New York Mets,9.0,3.2,3.0,7.2,4.0,0.6,Baltimore Orioles,8.82,4.8,4.8,10.8,2.4,1.8
747083,Atlanta Braves,8.6,3.0,3.0,11.6,2.0,0.8,Philadelphia Phillies,9.0,3.4,3.2,7.2,1.8,1.4
745136,St. Louis Cardinals,8.6,4.8,4.6,7.8,2.0,2.4,Milwaukee Brewers,9.0,2.4,1.4,7.4,1.6,0.6
746839,Chicago Cubs,8.8,3.2,3.0,8.2,2.8,0.8,Detroit Tigers,9.4,1.6,1.4,9.0,3.8,0.4
744978,Texas Rangers,9.2,4.0,3.8,8.2,2.8,1.4,Pittsburgh Pirates,8.6,5.4,5.0,9.0,2.2,1.8
746349,Houston Astros,9.2,2.2,1.6,9.2,2.6,0.8,Boston Red Sox,8.42,5.0,4.8,8.4,2.8,1.4
746266,Kansas City Royals,9.0,1.4,1.4,10.0,2.2,0.6,Los Angeles Angels,8.8,6.0,5.6,8.6,5.0,1.6
745624,Oakland Athletics,9.0,3.8,3.6,9.6,3.4,1.4,Tampa Bay Rays,9.6,3.4,2.6,8.8,3.2,1.0
745374,San Diego Padres,8.6,3.6,3.4,10.0,3.4,0.8,Minnesota Twins,8.819999999999999,3.6,2.8,6.8,2.0,0.6
745295,San Francisco Giants,9.0,4.0,3.8,9.0,3.8,0.8,Chicago White Sox,8.4,5.4,5.2,9.4,3.4,1.6
746107,Los Angeles Dodgers,8.6,3.6,3.6,6.6,3.2,1.8,Seattle Mariners,8.2,4.0,3.6,7.8,2.6,1.6
745781,New York Mets,9.0,3.6,3.2,7.0,2.6,0.8,Baltimore Orioles,8.82,5.6,5.4,11.0,2.8,1.8
746350,Houston Astros,9.0,3.2,2.6,9.6,3.6,1.2,Boston Red Sox,8.620000000000001,5.0,4.8,7.6,3.2,1.4
744973,Texas Rangers,9.2,4.2,4.0,8.8,1.8,1.2,Pittsburgh Pirates,8.8,3.8,3.4,10.4,1.8,1.4
745297,San Francisco Giants,9.0,1.6,1.4,10.0,2.4,0.0,Chicago White Sox,8.2,4.2,3.8,9.0,3.6,1.0
745375,San Diego Padres,8.6,4.2,4.0,8.2,3.2,0.8,Minnesota Twins,8.62,4.6,3.8,6.8,1.4,1.0
746028,Miami Marlins,8.6,5.0,4.8,7.4,4.6,2.0,Arizona Diamondbacks,9.059999999999999,5.2,4.6,8.6,3.0,0.8
744812,Washington Nationals,8.4,5.6,5.2,7.2,2.8,1.2,Colorado Rockies,8.8,5.0,4.2,6.0,4.8,1.2
745704,New York Yankees,9.4,3.6,3.2,10.0,4.0,0.4,Cleveland Guardians,9.0,3.0,2.6,7.4,3.6,0.8
744893,Toronto Blue Jays,8.8,3.6,3.2,7.4,2.6,1.2,Cincinnati Reds,8.8,8.2,7.8,7.0,2.6,2.4
747084,Atlanta Braves,8.6,2.8,2.8,12.8,2.0,0.6,Philadelphia Phillies,8.8,3.0,2.8,7.4,2.4,1.4
745138,St. Louis Cardinals,8.8,4.6,4.4,7.8,2.6,2.0,Milwaukee Brewers,9.0,2.0,1.6,7.0,1.4,0.8
746837,Chicago Cubs,9.0,3.0,2.8,10.0,2.6,0.6,Detroit Tigers,9.0,1.8,1.6,7.6,3.8,0.6
746267,Kansas City Royals,9.0,3.0,2.8,11.0,3.6,0.6,Los Angeles Angels,8.8,5.2,4.6,7.0,4.2,1.0
745622,Oakland Athletics,9.2,2.2,2.0,10.0,3.0,1.2,Tampa Bay Rays,9.4,3.0,2.4,8.0,3.0,0.8
746110,Los Angeles Dodgers,8.8,3.0,3.0,5.8,3.0,1.4,Seattle Mariners,8.2,4.8,4.4,7.6,3.2,2.0
744815,Washington Nationals,8.6,3.2,3.0,6.8,2.4,0.6,Colorado Rockies,8.8,4.0,3.6,5.2,3.8,1.2
745705,New York Yankees,9.4,3.4,3.0,9.6,4.0,0.4,Cleveland Guardians,8.8,4.4,4.0,8.4,3.8,1.4
745137,St. Louis Cardinals,9.2,4.0,4.0,8.6,3.8,1.0,Milwaukee Brewers,9.02,3.2,3.0,8.2,2.8,1.2
746836,Chicago Cubs,9.2,3.4,3.2,10.6,2.4,1.2,Detroit Tigers,9.0,2.0,1.8,8.0,2.8,0.8
745623,Oakland Athletics,9.2,1.8,1.6,11.0,2.4,1.0,Tampa Bay Rays,9.4,2.6,2.4,8.6,2.8,0.8
745465,Pittsburgh Pirates,8.64,3.4,3.0,10.4,1.8,1.0,Cincinnati Reds,8.8,8.2,7.8,6.8,3.6,2.6
744894,Toronto Blue Jays,8.8,4.6,4.2,8.8,2.8,1.2,Los Angeles Angels,8.6,5.4,4.8,6.0,3.4,1.2
746998,Baltimore Orioles,8.620000000000001,4.0,3.8,9.6,2.6,1.6,Houston Astros,9.0,3.0,2.4,10.2,3.2,1.0
747082,Atlanta Braves,8.8,2.2,2.2,12.0,1.6,0.2,Philadelphia Phillies,8.8,2.8,2.8,7.4,3.0,1.2
745379,San Diego Padres,8.8,5.0,4.8,8.2,3.0,0.6,New York Mets,9.0,3.6,3.2,8.2,2.6,0.8
745460,Pittsburgh Pirates,8.64,3.0,2.6,10.2,2.0,1.0,Cincinnati Reds,8.6,7.0,6.8,8.2,3.0,2.4
746995,Baltimore Orioles,8.620000000000001,4.2,3.8,9.6,3.2,1.4,Houston Astros,9.0,2.8,2.2,10.2,3.4,1.0
745702,New York Yankees,9.4,3.4,3.0,8.6,4.8,0.4,Colorado Rockies,8.6,5.0,4.6,5.0,3.4,1.0
744889,Toronto Blue Jays,9.0,4.6,4.2,9.2,2.6,1.2,Los Angeles Angels,8.4,4.2,3.8,6.0,2.8,0.8
746920,Boston Red Sox,8.620000000000001,3.2,3.0,7.8,2.4,1.4,Arizona Diamondbacks,9.219999999999999,5.8,5.4,8.4,3.0,1.0
746597,Cleveland Guardians,8.8,4.6,4.2,8.0,4.6,1.6,Texas Rangers,9.2,3.4,3.2,9.8,1.8,0.8
746024,Miami Marlins,8.8,5.6,5.6,7.6,5.0,2.0,Chicago Cubs,9.0,2.8,2.8,11.0,2.6,1.2
747080,Atlanta Braves,9.0,2.0,2.0,12.2,1.8,0.0,Washington Nationals,8.8,3.2,3.0,8.6,1.8,1.0
745870,Minnesota Twins,8.62,4.8,4.0,7.6,1.4,1.2,St. Louis Cardinals,9.2,2.6,2.6,7.6,4.2,0.4
746268,Kansas City Royals,9.0,2.8,2.6,10.8,3.6,0.6,Philadelphia Phillies,8.6,3.0,3.0,8.0,2.8,1.4
746758,Chicago White Sox,8.2,3.8,3.4,8.2,3.4,0.6,Detroit Tigers,8.8,3.4,3.2,7.8,2.8,0.6
745378,San Diego Padres,8.8,6.0,5.6,8.6,2.2,0.4,New York Mets,9.0,4.2,3.8,8.0,3.8,0.8
745625,Oakland Athletics,9.2,2.0,1.8,11.2,2.4,1.0,Milwaukee Brewers,8.82,3.2,3.0,7.0,3.4,0.8
