gamePk,team_side,team_id,team_name,inningsPitched,outs,runs,earnedRuns,hits,homeRuns,strikeOuts,baseOnBalls,hitBatsmen,numberOfPitches,balls,strikes,strikePercentage,groundOuts,flyOuts,completeGames,shutouts,saveOpportunities
744945,away,118,Kansas City Royals,8.0,24,6,6,12,3,8,4,1,156,54,102,.650,6,5,0,0,0
744945,home,141,Toronto Blue Jays,9.0,27,5,4,11,2,7,3,1,160,55,105,.660,12,3,0,0,0
745832,away,112,Chicago Cubs,9.0,27,1,1,4,1,3,3,0,110,36,74,.670,12,8,0,0,0
745832,home,121,New York Mets,9.0,27,3,3,3,1,8,2,1,120,38,82,.680,8,7,0,0,0
746804,away,142,Minnesota Twins,9.0,27,2,2,8,0,8,3,0,142,46,96,.680,11,4,0,0,0
746804,home,145,Chicago White Sox,9.0,27,3,3,4,1,11,3,0,147,51,96,.650,9,5,0,0,0
745999,away,139,Tampa Bay Rays,9.0,27,0,0,3,0,12,2,1,135,48,87,.640,8,3,0,1,0
745999,home,158,Milwaukee Brewers,9.0,27,1,1,6,0,10,3,1,135,47,88,.650,4,4,0,0,0
746236,away,143,Philadelphia Phillies,8.0,24,6,6,11,1,3,3,0,123,50,73,.590,13,1,0,0,0
746236,home,108,Los Angeles Angels,9.0,27,5,5,6,0,4,9,1,173,79,94,.540,11,5,0,0,0
747211,away,119,Los Angeles Dodgers,9.0,27,4,4,7,0,6,6,0,150,62,88,.590,6,7,0,0,0
747211,home,109,Arizona Diamondbacks,9.0,27,8,8,10,1,0,8,1,162,68,94,.580,11,10,0,0,0
745672,away,134,Pittsburgh Pirates,8.0,24,5,5,8,1,10,4,0,136,46,90,.660,5,4,0,0,0
745672,home,133,Oakland Athletics,9.0,27,1,1,2,0,7,5,0,130,61,69,.530,5,7,0,0,0
745427,away,113,Cincinnati Reds,9.0,27,2,2,4,1,14,2,0,136,37,99,.730,7,5,0,0,0
745427,home,135,San Diego Padres,9.0,27,5,5,8,1,6,1,0,140,52,88,.630,8,9,0,0,0
745263,away,144,Atlanta Braves,8.0,24,2,2,4,1,12,3,0,152,61,91,.600,9,2,0,0,0
745263,home,136,Seattle Mariners,9.0,27,1,1,3,0,14,1,0,127,44,83,.650,7,3,0,0,0
746481,away,138,St. Louis Cardinals,8.0,24,11,11,14,3,6,6,1,185,73,112,.610,7,6,0,0,0
746481,home,116,Detroit Tigers,9.0,27,6,6,11,2,11,5,0,171,56,115,.670,7,4,0,0,0
746477,away,138,St. Louis Cardinals,9.0,27,1,1,4,1,13,2,0,120,40,80,.670,6,8,0,0,0
746477,home,116,Detroit Tigers,9.0,27,2,2,7,0,15,1,0,133,38,95,.710,6,5,0,0,0
746481,away,138,St. Louis Cardinals,8.0,24,11,11,14,3,6,6,1,185,73,112,.610,7,6,0,0,0
746481,home,116,Detroit Tigers,9.0,27,6,6,11,2,11,5,0,171,56,115,.670,7,4,0,0,0
747047,away,147,New York Yankees,8.0,24,4,4,9,0,8,2,0,117,36,81,.690,4,8,0,0,0
747047,home,110,Baltimore Orioles,9.0,27,2,2,5,2,8,4,0,118,44,74,.630,11,2,0,0,0
746073,away,115,Colorado Rockies,9.1,28,7,6,9,0,4,2,2,132,48,84,.640,9,8,0,0,0
746073,home,146,Miami Marlins,10.0,30,6,5,9,1,13,2,0,154,44,110,.710,10,6,0,0,0
744942,away,118,Kansas City Royals,9.0,27,1,1,4,0,11,3,0,138,49,89,.640,7,5,0,0,0
744942,home,141,Toronto Blue Jays,9.0,27,4,4,8,1,4,2,1,120,45,75,.630,10,5,0,0,0
745831,away,112,Chicago Cubs,8.0,24,4,1,7,1,4,1,0,138,45,93,.670,10,9,0,0,0
745831,home,121,New York Mets,9.0,27,2,2,4,0,6,6,0,158,63,95,.600,13,2,0,0,0
746968,away,137,San Francisco Giants,8.0,24,4,4,11,0,11,6,2,165,70,95,.580,9,2,0,0,0
746968,home,111,Boston Red Sox,9.0,27,0,0,4,0,10,1,1,150,55,95,.630,10,3,0,1,0
746806,away,142,Minnesota Twins,9.0,27,5,4,12,2,6,2,0,155,54,101,.650,14,3,0,0,0
746806,home,145,Chicago White Sox,9.0,27,6,6,9,0,8,4,3,164,63,101,.620,9,5,0,0,0
745997,away,139,Tampa Bay Rays,8.0,24,8,8,10,1,4,5,1,168,68,100,.600,6,6,0,0,0
745997,home,158,Milwaukee Brewers,9.0,27,2,2,5,1,13,0,2,125,38,87,.700,8,3,0,0,0
745018,away,120,Washington Nationals,8.0,24,7,7,10,2,10,2,1,153,58,95,.620,6,6,0,0,0
745018,home,140,Texas Rangers,9.0,27,1,1,3,0,3,0,0,110,28,82,.750,13,7,0,0,0
746398,away,114,Cleveland Guardians,9.2,29,10,9,12,3,9,3,1,158,49,109,.690,5,8,0,0,0
746398,home,117,Houston Astros,10.0,30,9,8,7,3,15,6,2,193,88,105,.540,5,5,0,0,0
746239,away,143,Philadelphia Phillies,9.0,27,5,3,9,2,9,0,1,153,57,96,.630,9,5,0,0,0
746239,home,108,Los Angeles Angels,9.0,27,7,7,11,3,11,3,0,154,49,105,.680,7,6,0,0,0
747210,away,119,Los Angeles Dodgers,9.0,27,4,3,10,2,5,2,1,133,44,89,.670,11,7,0,0,0
747210,home,109,Arizona Diamondbacks,10.0,30,3,2,5,0,9,6,1,159,65,94,.590,9,5,0,0,0
745673,away,134,Pittsburgh Pirates,8.0,24,5,5,8,2,9,3,1,135,51,84,.620,5,5,0,0,0
