gamePk,team_side,team_id,team_name,atBats,hits,doubles,triples,homeRuns,rbi,strikeOuts,baseOnBalls,avg,obp,slg,ops,stolenBases,caughtStealing,plateAppearances,leftOnBase
745975,away,140,Texas Rangers,39,10,1,0,2,5,11,3,.237,.306,.370,.676,1,0,42,22
745975,home,158,Milwaukee Brewers,39,11,0,0,2,6,8,4,.255,.332,.400,.732,1,0,44,17
746212,away,133,Oakland Athletics,30,7,3,0,0,2,6,5,.221,.293,.372,.665,1,0,37,11
746212,home,108,Los Angeles Angels,31,7,4,0,0,5,12,3,.237,.304,.387,.691,0,0,36,14
745400,away,120,Washington Nationals,30,5,2,0,0,5,10,3,.236,.304,.367,.671,0,1,34,6
745400,home,135,San Diego Padres,32,9,1,0,2,7,5,4,.261,.325,.407,.732,0,0,37,17
747019,away,114,Cleveland Guardians,31,5,1,0,2,2,7,1,.245,.319,.411,.730,1,0,33,6
747019,home,110,Baltimore Orioles,31,9,1,0,3,4,4,2,.255,.315,.461,.776,0,2,33,10
746942,away,141,Toronto Blue Jays,34,6,2,0,1,4,13,2,.233,.309,.369,.678,2,0,36,10
746942,home,111,Boston Red Sox,31,4,2,0,1,1,11,3,.252,.321,.419,.740,0,0,34,11
745808,away,147,New York Yankees,31,6,1,0,1,2,8,7,.249,.331,.428,.759,0,0,38,19
745808,home,121,New York Mets,34,12,4,0,3,12,3,7,.250,.323,.415,.738,0,0,45,19
746777,away,119,Los Angeles Dodgers,32,6,2,0,1,4,12,3,.255,.335,.439,.774,0,0,36,9
746777,home,145,Chicago White Sox,30,4,1,0,0,0,7,0,.218,.279,.342,.621,0,0,30,9
747184,away,142,Minnesota Twins,39,14,7,0,1,8,10,3,.248,.318,.422,.740,0,0,45,19
747184,home,109,Arizona Diamondbacks,29,4,1,1,0,2,8,2,.249,.319,.397,.716,0,1,33,6
745325,away,112,Chicago Cubs,32,9,1,0,1,3,7,5,.230,.312,.368,.680,0,1,37,17
745325,home,137,San Francisco Giants,30,6,0,0,3,4,12,1,.245,.316,.385,.701,0,0,31,9
747185,away,142,Minnesota Twins,36,14,2,1,1,12,4,4,.250,.320,.425,.745,0,0,46,17
747185,home,109,Arizona Diamondbacks,36,9,1,0,1,6,7,2,.249,.319,.397,.716,0,0,40,13
745324,away,112,Chicago Cubs,39,10,1,1,2,5,14,3,.230,.312,.369,.681,3,0,43,16
745324,home,137,San Francisco Giants,36,6,1,0,0,2,10,3,.244,.315,.382,.697,0,0,39,21
746816,away,144,Atlanta Braves,29,3,1,0,0,0,7,5,.243,.308,.403,.711,0,0,34,16
746816,home,145,Chicago White Sox,26,4,1,0,1,1,12,1,.217,.278,.341,.619,1,1,27,5
745565,away,146,Miami Marlins,38,13,3,0,1,6,9,2,.232,.282,.350,.632,1,0,42,18
745565,home,143,Philadelphia Phillies,34,8,3,0,1,4,6,4,.259,.333,.422,.755,0,0,39,16
747020,away,140,Texas Rangers,38,12,1,0,1,2,9,0,.238,.306,.371,.677,0,1,38,17
747020,home,110,Baltimore Orioles,35,14,3,0,4,11,3,2,.256,.316,.466,.782,0,0,39,11
744919,away,147,New York Yankees,30,3,0,0,1,2,11,4,.247,.330,.426,.756,0,0,35,11
744919,home,141,Toronto Blue Jays,34,11,2,0,3,9,12,1,.234,.310,.372,.682,0,0,39,14
745162,away,113,Cincinnati Reds,40,16,6,1,1,11,5,1,.230,.306,.379,.685,3,0,43,16
745162,home,138,St. Louis Cardinals,33,7,2,2,1,4,5,6,.240,.307,.380,.687,0,0,39,19
746288,away,114,Cleveland Guardians,32,7,2,0,0,1,11,3,.245,.319,.410,.729,0,0,37,15
746288,home,118,Kansas City Royals,27,6,0,2,0,2,8,1,.243,.305,.397,.702,1,0,30,11
746210,away,116,Detroit Tigers,29,4,1,0,0,0,8,0,.230,.295,.371,.666,0,1,29,6
746210,home,108,Los Angeles Angels,32,8,1,0,3,5,11,1,.237,.303,.389,.692,2,0,34,7
745560,away,146,Miami Marlins,29,3,0,0,0,0,9,0,.230,.280,.348,.628,0,0,29,5
745560,home,143,Philadelphia Phillies,28,7,3,0,0,2,8,3,.259,.332,.421,.753,2,1,32,18
745070,away,120,Washington Nationals,31,5,2,0,0,0,9,2,.235,.303,.365,.668,2,1,35,15
745070,home,139,Tampa Bay Rays,32,9,1,0,2,3,8,2,.237,.311,.367,.678,1,1,34,10
747017,away,140,Texas Rangers,31,4,0,0,0,1,7,5,.237,.306,.368,.674,1,0,36,17
747017,home,110,Baltimore Orioles,29,5,0,0,1,2,7,3,.256,.316,.464,.780,0,0,32,12
744922,away,147,New York Yankees,43,18,5,0,2,15,8,2,.250,.332,.430,.762,0,0,46,7
744922,home,141,Toronto Blue Jays,35,10,1,0,2,5,7,3,.235,.311,.374,.685,0,0,40,16
745804,away,117,Houston Astros,38,12,4,0,1,2,10,4,.264,.322,.422,.744,1,0,43,28
745804,home,121,New York Mets,32,9,2,0,3,7,7,5,.251,.324,.417,.741,1,1,39,18
